From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
4509;7542;sea;2585;-1;-1;-1;-1;;Papua-Japen
10251;1329;sea;430;5112;550;5122;559;;Papua-New Britain
7251;4421;sea;7010;-1;-1;-1;-1;;New Britain-Latangai
13021;13022;sea;8673;-1;-1;-1;-1;;Gilbert Islands
4268;4231;sea;5741;-1;-1;-1;-1;;New Caledonia 1
1237;12120;sea;5660;-1;-1;-1;-1;;New Caledonia 2
12632;1814;sea;5637;-1;-1;-1;-1;;North-South NZ Islands
10231;10248;sea;430;-1;-1;-1;-1;;New Guinea-Fergusson
12246;10288;sea;5513;-1;-1;-1;-1;;Cobourg-Australia
1042;7437;sea;6819;-1;-1;-1;-1;;San Cristobal-Guadalcanal
4292;10319;sea;5868;-1;-1;-1;-1;;Guadalcanal-Munda
10319;12265;sea;5868;-1;-1;-1;-1;;Munda-Choiseul
12265;4252;sea;5868;-1;-1;-1;-1;;Choiseul-Santa Isabel
4252;1085;sea;5868;-1;-1;-1;-1;;Santa Isabel-Malaita
1085;10291;sea;5868;-1;-1;-1;-1;;Malaita-Guadalcanal
1742;7868;sea;2510;-1;-1;-1;-1;;Sakhalin-Siberia
12661;7884;sea;8538;-1;-1;-1;-1;;Kodiak-Alaska
11985;1025;sea;7932;-1;-1;-1;-1;;Japan-Kyushu
4094;7212;sea;8791;-1;-1;-1;-1;;Shikoku-Chugoku
9965;7072;sea;8791;-1;-1;-1;-1;;Shikoku-Kansai
1399;1515;sea;220;-1;-1;-1;-1;;Kurils 1
1515;13037;sea;5614;-1;-1;-1;-1;;Kurils 2
13037;4646;sea;4465;-1;-1;-1;-1;;Kurils-Hokkaido
9952;1117;sea;2658;-1;-1;-1;-1;;Niigata-Sado
10092;7046;sea;8791;-1;-1;-1;-1;;Kyushu-Shikoku
4198;12032;sea;8472;-1;-1;-1;-1;;Kanoya-Yokushima
11948;1177;sea;2708;-1;-1;-1;-1;;Jeju-Korea
10124;1123;sea;8499;-1;-1;-1;-1;;Okinawa 1
1123;7115;sea;8318;-1;-1;-1;-1;;Okinawa 2
3995;13024;sea;2855;-1;-1;-1;-1;;Saipan-Tinian
1135;13090;sea;6471;-1;-1;-1;-1;;Amlia-Unalaska
13090;10694;sea;6064;-1;-1;-1;-1;;Unalaska-Unimak
10048;7195;sea;8384;-1;-1;-1;-1;;Hawaii-Maui
7195;4180;sea;8410;-1;-1;-1;-1;;Maui-Honolulu
4180;7112;sea;5339;-1;-1;-1;-1;;Honolulu-Kauai
12148;10188;sea;8660;-1;-1;-1;-1;;Tahiti-Raiatea
7290;13080;sea;9081;-1;-1;-1;-1;;Samoan Islands
4286;12159;sea;8289;-1;-1;-1;-1;;Fiji-Sanua Levu
13055;13056;sea;8419;-1;-1;-1;-1;;Nukufetau-Funafuti
13056;13057;sea;8419;-1;-1;-1;-1;;Funafuti-Nukulaelae
13027;13028;sea;2735;-1;-1;-1;-1;;Ngulu-Yap
13029;13028;sea;2735;-1;-1;-1;-1;;Ulithi-Yap
2489;13033;sea;7918;-1;-1;-1;-1;;Truk-Hall Islands
13041;13044;sea;7287;-1;-1;-1;-1;;Carolines 1
13042;13043;sea;2414;-1;-1;-1;-1;;Carolines 2
10276;7669;sea;5263;-1;-1;-1;-1;;Tiwi-Darwin
12910;7567;sea;5771;-1;-1;-1;-1;;Adelaide-Kangaroo Island
4526;153;sea;2571;-1;-1;-1;-1;;Curacao-Zulia
10767;3284;sea;2597;-1;-1;-1;-1;;Miranda-Trinidad
13012;3284;sea;2597;-1;-1;-1;-1;;Tobago-Trinidad
11106;379;sea;5533;-1;-1;-1;-1;;Grenada-St Vincent
379;11350;sea;5533;-1;-1;-1;-1;;St Vincent-Barbados
379;13009;sea;5533;-1;-1;-1;-1;;St Vincent-St Lucia
13009;177;sea;5533;-1;-1;-1;-1;;St Lucia-Martinique
177;7123;sea;5533;-1;-1;-1;-1;;Martinique-Dominica
7123;9377;sea;5533;-1;-1;-1;-1;;Dominica-Guadeloupe
9377;4450;sea;2887;-1;-1;-1;-1;;Guadeloupe-Montserrat
4450;13084;sea;2887;-1;-1;-1;-1;;Montserrat-Anguilla
13084;4155;sea;5507;-1;-1;-1;-1;;Anguilla-Virgin Islands
1440;4155;sea;5507;-1;-1;-1;-1;;Puerto Rico-Virgin Islands
10203;9805;sea;5864;-1;-1;-1;-1;;Corfu-Epirus
1106;12001;sea;5913;-1;-1;-1;-1;;Lefkada-Epirus
3401;7127;sea;6801;-1;-1;-1;-1;;Cyclades-Greece
8435;6864;sea;7452;-1;-1;-1;-1;;Lesbos-Turkey
6550;4112;sea;7226;-1;-1;-1;-1;;Chios-Turkey
7003;9941;sea;7226;-1;-1;-1;-1;;Kos-Bodrum
10007;10122;sea;7226;-1;-1;-1;-1;;Rhodes-Turkey
9833;11829;sea;5412;-1;-1;-1;-1;;Bosphorus
9680;6741;sea;8282;-1;-1;-1;-1;;Kerch Strait
9859;3962;sea;5946;-1;-1;-1;-1;;Tsugaru Strait
10011;7110;sea;2708;4825;1219;-1;-1;;Tushima-Kyushu
4160;1070;sea;5244;-1;-1;-1;-1;;Hainan-Strait
1712;12147;sea;8978;-1;-1;-1;-1;;Quebec-Strait
3691;7813;sea;6261;-1;-1;-1;-1;;Cold Ass-Strait
7259;1393;sea;5257;-1;-1;-1;-1;;Vancouver-Strait
11047;198;sea;8370;-1;-1;-1;-1;;Barents-Strait
11157;3145;sea;5792;-1;-1;-1;-1;;Northern-Straits
11090;91;sea;5792;-1;-1;-1;-1;;Northern-Straits
44;11050;sea;5792;-1;-1;-1;-1;;Northern-Straits
22;3016;sea;5792;-1;-1;-1;-1;;Northern-Straits
6062;6205;sea;3590;-1;-1;-1;-1;;West Scottish-Strait
8435;6550;sea;7452;-1;-1;-1;-1;;Aegan Isle-Strait
7304;4360;sea;8614;-1;-1;-1;-1;;New Foundland-Strait
5407;5382;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar North
5407;2400;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar South
2455;2506;;-1;-1;-1;-1;-1;DANISH_BELTS_STRAIT;Øresund
5412;7678;;-1;-1;-1;-1;-1;BOSPHORUS_STRAIT;Bosphorus
10825;1991;impassable;-1;-1;-1;-1;-1;;Himalayas
10825;8029;impassable;-1;-1;-1;-1;-1;;Himalayas
10910;1991;impassable;-1;-1;-1;-1;-1;;Himalayas
10910;13441;impassable;-1;-1;-1;-1;-1;;Himalayas
10910;12807;impassable;-1;-1;-1;-1;-1;;Himalayas
4900;12892;impassable;-1;-1;-1;-1;-1;;Himalayas
4900;4435;impassable;-1;-1;-1;-1;-1;;Himalayas
12730;2098;impassable;-1;-1;-1;-1;-1;;Himalayas
12860;2098;impassable;-1;-1;-1;-1;-1;;Himalayas
12730;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
10810;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;8041;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;5102;impassable;-1;-1;-1;-1;-1;;Himalayas
4318;5102;impassable;-1;-1;-1;-1;-1;;Himalayas
1898;8029;impassable;-1;-1;-1;-1;-1;;Himalayas
1898;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
3989;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
1129;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
4558;10826;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4558;12653;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4558;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
12763;10826;impassable;-1;-1;-1;-1;-1;;peshawar mountains
2084;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
10821;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4998;12831;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4998;5082;impassable;-1;-1;-1;-1;-1;;peshawar mountains
1978;5082;impassable;-1;-1;-1;-1;-1;;peshawar mountains
1978;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
7975;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
8044;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
8044;5064;impassable;-1;-1;-1;-1;-1;;peshawar mountains
12805;7519;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12805;5087;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12805;1766;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
10417;7519;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
10417;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
8027;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
7224;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
7224;12314;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12218;12314;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12370;1766;impassable;-1;-1;-1;-1;-1;;pamir mountains
12370;12119;impassable;-1;-1;-1;-1;-1;;pamir mountains
5062;12119;impassable;-1;-1;-1;-1;-1;;pamir mountains
5062;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4768;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;1703;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;12526;impassable;-1;-1;-1;-1;-1;;pamir mountains
3314;6336;sea;2752;2885;1578;2890;1581;;Afsluitdijk
12768;5081;impassable;-1;-1;-1;-1;-1;;rub-al-khali
12768;5093;impassable;-1;-1;-1;-1;-1;;rub-al-khali
13622;8030;impassable;-1;-1;-1;-1;-1;;rub-al-khali
13622;13623;impassable;-1;-1;-1;-1;-1;;rub-al-khali
12768;13623;impassable;-1;-1;-1;-1;-1;;rub-al-khali
12894;2029;impassable;-1;-1;-1;-1;-1;;rub-al-khali
12894;2103;impassable;-1;-1;-1;-1;-1;;rub-al-khali
12894;13079;impassable;-1;-1;-1;-1;-1;;rub-al-khali
2018;2103;impassable;-1;-1;-1;-1;-1;;rub-al-khali
2018;8002;impassable;-1;-1;-1;-1;-1;;rub-al-khali
2018;5049;impassable;-1;-1;-1;-1;-1;;rub-al-khali
2048;5049;impassable;-1;-1;-1;-1;-1;;rub-al-khali
2048;7960;impassable;-1;-1;-1;-1;-1;;rub-al-khali
2048;8108;impassable;-1;-1;-1;-1;-1;;rub-al-khali
2048;4932;impassable;-1;-1;-1;-1;-1;;rub-al-khali
12740;5081;impassable;-1;-1;-1;-1;-1;;rub-al-khali
12740;4932;impassable;-1;-1;-1;-1;-1;;rub-al-khali
12002;1080;impassable;-1;-1;-1;-1;-1;;egypt
1080;9957;impassable;-1;-1;-1;-1;-1;;egypt
1064;4068;impassable;-1;-1;-1;-1;-1;;egypt
1064;7156;impassable;-1;-1;-1;-1;-1;;egypt
4910;5069;impassable;-1;-1;-1;-1;-1;;egypt
4910;1977;impassable;-1;-1;-1;-1;-1;;egypt
4992;9983;impassable;-1;-1;-1;-1;-1;;sahara
4992;12000;impassable;-1;-1;-1;-1;-1;;sahara
4992;1105;impassable;-1;-1;-1;-1;-1;;sahara
4992;7154;impassable;-1;-1;-1;-1;-1;;sahara
4962;7154;impassable;-1;-1;-1;-1;-1;;sahara
4962;1140;impassable;-1;-1;-1;-1;-1;;sahara
4962;10037;impassable;-1;-1;-1;-1;-1;;sahara
4962;10884;impassable;-1;-1;-1;-1;-1;;sahara
4962;1174;impassable;-1;-1;-1;-1;-1;;sahara
4962;5004;impassable;-1;-1;-1;-1;-1;;sahara
4962;12866;impassable;-1;-1;-1;-1;-1;;sahara
7985;12866;impassable;-1;-1;-1;-1;-1;;sahara
7985;11940;impassable;-1;-1;-1;-1;-1;;sahara
7985;4117;impassable;-1;-1;-1;-1;-1;;sahara
7985;7194;impassable;-1;-1;-1;-1;-1;;sahara
7985;7136;impassable;-1;-1;-1;-1;-1;;sahara
7985;13073;impassable;-1;-1;-1;-1;-1;;sahara
10785;13073;impassable;-1;-1;-1;-1;-1;;sahara
10785;8069;impassable;-1;-1;-1;-1;-1;;sahara
10785;7076;impassable;-1;-1;-1;-1;-1;;sahara
10785;4200;impassable;-1;-1;-1;-1;-1;;sahara
10785;4133;impassable;-1;-1;-1;-1;-1;;sahara
10785;9977;impassable;-1;-1;-1;-1;-1;;sahara
11951;9977;impassable;-1;-1;-1;-1;-1;;sahara
11951;1186;impassable;-1;-1;-1;-1;-1;;sahara
11951;13078;impassable;-1;-1;-1;-1;-1;;sahara
11951;7206;impassable;-1;-1;-1;-1;-1;;sahara
1060;7206;impassable;-1;-1;-1;-1;-1;;sahara
1060;4060;impassable;-1;-1;-1;-1;-1;;sahara
1060;5078;impassable;-1;-1;-1;-1;-1;;sahara
12764;5078;impassable;-1;-1;-1;-1;-1;;sahara
12764;12033;impassable;-1;-1;-1;-1;-1;;sahara
12764;13228;impassable;-1;-1;-1;-1;-1;;sahara
1143;10127;impassable;-1;-1;-1;-1;-1;;sahara
1143;7148;impassable;-1;-1;-1;-1;-1;;sahara
1143;13228;impassable;-1;-1;-1;-1;-1;;sahara
1143;11910;impassable;-1;-1;-1;-1;-1;;sahara
1143;1071;impassable;-1;-1;-1;-1;-1;;sahara
7117;1071;impassable;-1;-1;-1;-1;-1;;sahara
7117;4145;impassable;-1;-1;-1;-1;-1;;sahara
7117;992;impassable;-1;-1;-1;-1;-1;;sahara
7117;13518;impassable;-1;-1;-1;-1;-1;;sahara
7117;10031;impassable;-1;-1;-1;-1;-1;;sahara
7216;10031;impassable;-1;-1;-1;-1;-1;;sahara
7216;7144;impassable;-1;-1;-1;-1;-1;;sahara
12099;7144;impassable;-1;-1;-1;-1;-1;;sahara
12099;11974;impassable;-1;-1;-1;-1;-1;;sahara
12099;12044;impassable;-1;-1;-1;-1;-1;;sahara
12099;10097;impassable;-1;-1;-1;-1;-1;;sahara
2064;10097;impassable;-1;-1;-1;-1;-1;;sahara
2064;1206;impassable;-1;-1;-1;-1;-1;;sahara
2064;1028;impassable;-1;-1;-1;-1;-1;;sahara
2064;12771;impassable;-1;-1;-1;-1;-1;;sahara
2064;4138;impassable;-1;-1;-1;-1;-1;;sahara
7987;4138;impassable;-1;-1;-1;-1;-1;;sahara
7987;12836;impassable;-1;-1;-1;-1;-1;;sahara
10900;12836;impassable;-1;-1;-1;-1;-1;;sahara
10900;4961;impassable;-1;-1;-1;-1;-1;;sahara
10900;8084;impassable;-1;-1;-1;-1;-1;;sahara
10900;10739;impassable;-1;-1;-1;-1;-1;;sahara
8103;10739;impassable;-1;-1;-1;-1;-1;;sahara
8103;5060;impassable;-1;-1;-1;-1;-1;;sahara
4902;5060;impassable;-1;-1;-1;-1;-1;;sahara
4902;1473;impassable;-1;-1;-1;-1;-1;;sahara
4902;4978;impassable;-1;-1;-1;-1;-1;;sahara
4902;4897;impassable;-1;-1;-1;-1;-1;;sahara
5136;4897;impassable;-1;-1;-1;-1;-1;;sahara
5136;3123;impassable;-1;-1;-1;-1;-1;;sahara
1956;3123;impassable;-1;-1;-1;-1;-1;;sahara
1956;10780;impassable;-1;-1;-1;-1;-1;;sahara
10917;10780;impassable;-1;-1;-1;-1;-1;;sahara
10917;10805;impassable;-1;-1;-1;-1;-1;;sahara
10917;10758;impassable;-1;-1;-1;-1;-1;;sahara
7939;10758;impassable;-1;-1;-1;-1;-1;;sahara
7939;8028;impassable;-1;-1;-1;-1;-1;;sahara
7939;2056;impassable;-1;-1;-1;-1;-1;;sahara
7939;1975;impassable;-1;-1;-1;-1;-1;;sahara
7939;13517;impassable;-1;-1;-1;-1;-1;;sahara
2068;13517;impassable;-1;-1;-1;-1;-1;;sahara
2068;5101;impassable;-1;-1;-1;-1;-1;;sahara
10868;5101;impassable;-1;-1;-1;-1;-1;;sahara
10868;10788;impassable;-1;-1;-1;-1;-1;;sahara
10725;10788;impassable;-1;-1;-1;-1;-1;;sahara
10725;2044;impassable;-1;-1;-1;-1;-1;;sahara
10771;2044;impassable;-1;-1;-1;-1;-1;;sahara
10771;12838;impassable;-1;-1;-1;-1;-1;;sahara
10771;10812;impassable;-1;-1;-1;-1;-1;;sahara
10771;10915;impassable;-1;-1;-1;-1;-1;;sahara
10771;8058;impassable;-1;-1;-1;-1;-1;;sahara
1962;8058;impassable;-1;-1;-1;-1;-1;;sahara
10814;8058;impassable;-1;-1;-1;-1;-1;;sahara
10814;5077;impassable;-1;-1;-1;-1;-1;;sahara
10814;7992;impassable;-1;-1;-1;-1;-1;;sahara
13516;7992;impassable;-1;-1;-1;-1;-1;;sahara
10875;13516;impassable;-1;-1;-1;-1;-1;;sahara
10875;13515;impassable;-1;-1;-1;-1;-1;;sahara
10875;13514;impassable;-1;-1;-1;-1;-1;;sahara
13514;5012;impassable;-1;-1;-1;-1;-1;;sahara
13514;7979;impassable;-1;-1;-1;-1;-1;;sahara
10779;7979;impassable;-1;-1;-1;-1;-1;;sahara
13513;7979;impassable;-1;-1;-1;-1;-1;;sahara
13513;8111;impassable;-1;-1;-1;-1;-1;;sahara
13513;4920;impassable;-1;-1;-1;-1;-1;;sahara
10838;4920;impassable;-1;-1;-1;-1;-1;;sahara
4920;1958;impassable;-1;-1;-1;-1;-1;;sahara
5046;1958;impassable;-1;-1;-1;-1;-1;;sahara
4022;1958;impassable;-1;-1;-1;-1;-1;;sahara
10838;1958;impassable;-1;-1;-1;-1;-1;;sahara
10731;1958;impassable;-1;-1;-1;-1;-1;;sahara
10731;8088;impassable;-1;-1;-1;-1;-1;;sahara
10731;13511;impassable;-1;-1;-1;-1;-1;;sahara
13512;13511;impassable;-1;-1;-1;-1;-1;;sahara
12711;13511;impassable;-1;-1;-1;-1;-1;;sahara
12711;13510;impassable;-1;-1;-1;-1;-1;;sahara
12711;12842;impassable;-1;-1;-1;-1;-1;;sahara
12711;2049;impassable;-1;-1;-1;-1;-1;;sahara
13509;2049;impassable;-1;-1;-1;-1;-1;;sahara
13509;5035;impassable;-1;-1;-1;-1;-1;;sahara
4903;5035;impassable;-1;-1;-1;-1;-1;;sahara
4903;8077;impassable;-1;-1;-1;-1;-1;;sahara
8061;8077;impassable;-1;-1;-1;-1;-1;;sahara
8061;9983;impassable;-1;-1;-1;-1;-1;;sahara
4951;12839;impassable;-1;-1;-1;-1;-1;;arabia
4951;10744;impassable;-1;-1;-1;-1;-1;;arabia
13372;10744;impassable;-1;-1;-1;-1;-1;;arabia
13372;2004;impassable;-1;-1;-1;-1;-1;;arabia
13372;12879;impassable;-1;-1;-1;-1;-1;;arabia
12879;4974;impassable;-1;-1;-1;-1;-1;;arabia
5058;4974;impassable;-1;-1;-1;-1;-1;;arabia
5058;2057;impassable;-1;-1;-1;-1;-1;;arabia
4968;2057;impassable;-1;-1;-1;-1;-1;;arabia
5027;2057;impassable;-1;-1;-1;-1;-1;;arabia
5099;2057;impassable;-1;-1;-1;-1;-1;;arabia
7970;5099;impassable;-1;-1;-1;-1;-1;;arabia
7970;2027;impassable;-1;-1;-1;-1;-1;;arabia
7970;13375;impassable;-1;-1;-1;-1;-1;;arabia
12455;13375;impassable;-1;-1;-1;-1;-1;;arabia
12455;11976;impassable;-1;-1;-1;-1;-1;;arabia
4603;11976;impassable;-1;-1;-1;-1;-1;;arabia
4603;1544;impassable;-1;-1;-1;-1;-1;;arabia
4603;4017;impassable;-1;-1;-1;-1;-1;;arabia
4562;4017;impassable;-1;-1;-1;-1;-1;;arabia
4562;4591;impassable;-1;-1;-1;-1;-1;;arabia
4562;4574;impassable;-1;-1;-1;-1;-1;;arabia
4440;4574;impassable;-1;-1;-1;-1;-1;;arabia
4440;7001;impassable;-1;-1;-1;-1;-1;;arabia
4440;4486;impassable;-1;-1;-1;-1;-1;;arabia
4440;7184;impassable;-1;-1;-1;-1;-1;;arabia
10383;7184;impassable;-1;-1;-1;-1;-1;;arabia
10383;12442;impassable;-1;-1;-1;-1;-1;;arabia
10383;7513;impassable;-1;-1;-1;-1;-1;;arabia
10383;2013;impassable;-1;-1;-1;-1;-1;;arabia
10383;12372;impassable;-1;-1;-1;-1;-1;;arabia
12316;12372;impassable;-1;-1;-1;-1;-1;;arabia
12316;12413;impassable;-1;-1;-1;-1;-1;;arabia
12316;12839;impassable;-1;-1;-1;-1;-1;;arabia
12702;13383;sea;2691;-1;-1;-1;-1;;arabia
8051;13383;sea;2691;-1;-1;-1;-1;;arabia
7790;8112;impassable;-1;-1;-1;-1;-1;;taklamakan
7790;1970;impassable;-1;-1;-1;-1;-1;;taklamakan
7790;2015;impassable;-1;-1;-1;-1;-1;;taklamakan
7790;7949;impassable;-1;-1;-1;-1;-1;;taklamakan
5016;7949;impassable;-1;-1;-1;-1;-1;;taklamakan
5016;4682;impassable;-1;-1;-1;-1;-1;;taklamakan
8086;4682;impassable;-1;-1;-1;-1;-1;;taklamakan
8086;7702;impassable;-1;-1;-1;-1;-1;;taklamakan
10885;7702;impassable;-1;-1;-1;-1;-1;;taklamakan
10885;7792;impassable;-1;-1;-1;-1;-1;;taklamakan
12864;7792;impassable;-1;-1;-1;-1;-1;;taklamakan
12864;5736;impassable;-1;-1;-1;-1;-1;;taklamakan
12864;2074;impassable;-1;-1;-1;-1;-1;;taklamakan
12864;1943;impassable;-1;-1;-1;-1;-1;;taklamakan
13437;1943;impassable;-1;-1;-1;-1;-1;;taklamakan
13437;10911;impassable;-1;-1;-1;-1;-1;;taklamakan
8042;10911;impassable;-1;-1;-1;-1;-1;;taklamakan
8042;4973;impassable;-1;-1;-1;-1;-1;;taklamakan
13436;4973;impassable;-1;-1;-1;-1;-1;;taklamakan
13436;8112;impassable;-1;-1;-1;-1;-1;;taklamakan
12884;1961;impassable;-1;-1;-1;-1;-1;;himalayas
12884;10802;impassable;-1;-1;-1;-1;-1;;himalayas
12884;1129;impassable;-1;-1;-1;-1;-1;;himalayas
8005;13438;impassable;-1;-1;-1;-1;-1;;himalayas
7316;2041;impassable;-1;-1;-1;-1;-1;;himalayas
10905;2041;impassable;-1;-1;-1;-1;-1;;himalayas
7273;10802;impassable;-1;-1;-1;-1;-1;;himalayas
7273;8005;impassable;-1;-1;-1;-1;-1;;himalayas
5042;10821;impassable;-1;-1;-1;-1;-1;;himalayas
5042;12801;impassable;-1;-1;-1;-1;-1;;himalayas
5042;4973;impassable;-1;-1;-1;-1;-1;;himalayas
12801;10802;impassable;-1;-1;-1;-1;-1;;tibet
12801;13440;impassable;-1;-1;-1;-1;-1;;tibet
5094;13440;impassable;-1;-1;-1;-1;-1;;tibet
5094;12784;impassable;-1;-1;-1;-1;-1;;tibet
2010;12784;impassable;-1;-1;-1;-1;-1;;tibet
2010;13443;impassable;-1;-1;-1;-1;-1;;tibet
10755;13443;impassable;-1;-1;-1;-1;-1;;tibet
10755;4994;impassable;-1;-1;-1;-1;-1;;tibet
10755;10918;impassable;-1;-1;-1;-1;-1;;tibet
10755;8037;impassable;-1;-1;-1;-1;-1;;tibet
5011;8037;impassable;-1;-1;-1;-1;-1;;tibet
5011;10315;impassable;-1;-1;-1;-1;-1;;tibet
5011;1943;impassable;-1;-1;-1;-1;-1;;tibet
8068;10911;impassable;-1;-1;-1;-1;-1;;tibet
8068;4973;impassable;-1;-1;-1;-1;-1;;tibet
4973;12801;impassable;-1;-1;-1;-1;-1;;tibet
10802;1961;impassable;-1;-1;-1;-1;-1;;tibet
10802;13440;impassable;-1;-1;-1;-1;-1;;tibet
8029;13440;impassable;-1;-1;-1;-1;-1;;tibet
8029;12784;impassable;-1;-1;-1;-1;-1;;tibet
1991;12784;impassable;-1;-1;-1;-1;-1;;tibet
1991;13442;impassable;-1;-1;-1;-1;-1;;tibet
13441;13442;impassable;-1;-1;-1;-1;-1;;tibet
2093;13444;impassable;-1;-1;-1;-1;-1;;tibet
8047;7991;impassable;-1;-1;-1;-1;-1;;amazon
13606;10888;impassable;-1;-1;-1;-1;-1;;amazon
13607;10888;impassable;-1;-1;-1;-1;-1;;amazon
13604;11020;impassable;-1;-1;-1;-1;-1;;amazon
12772;1997;impassable;-1;-1;-1;-1;-1;;amazon
5026;1887;impassable;-1;-1;-1;-1;-1;;amazon
5026;4892;impassable;-1;-1;-1;-1;-1;;amazon
4969;10494;impassable;-1;-1;-1;-1;-1;;amazon
2007;13616;impassable;-1;-1;-1;-1;-1;;amazon
13614;13616;impassable;-1;-1;-1;-1;-1;;amazon
12703;1937;impassable;-1;-1;-1;-1;-1;;amazon
12703;12845;impassable;-1;-1;-1;-1;-1;;amazon
12703;10747;impassable;-1;-1;-1;-1;-1;;amazon
7936;2079;impassable;-1;-1;-1;-1;-1;;amazon
